group_name,label,count
APT32,AG,1
APT32,RL,4
APT32,AT,1
APT32,AM,2
APT32,SI,2
APT28,AG,1
APT28,RL,1
APT28,AT,6
APT28,AM,3
APT28,SI,1
APT28,AE,3
APT28,AEQ,7
APT29,AG,1
APT29,RL,4
APT29,AT,1
APT29,AM,4
APT29,SI,2
APT29,AE,2
APT29,AEQ,5
APT30,AG,2
APT30,RL,2
APT30,AT,1
APT30,AM,3
APT30,AEQ,1
APT38,AG,3
APT38,RL,1
APT38,AT,1
APT38,AM,3
APT38,SI,1
APT38,AE,1
APT38,AEQ,3
APT38,AI,2
APT39,AG,1
APT39,RL,1
APT39,AM,3
APT39,AEQ,2
APT39,AI,3
APT41,AG,1
APT41,RL,1
APT41,AM,2
APT41,AEQ,6
APT41,AI,5
BRONZE BUTLER,AG,1
BRONZE BUTLER,RL,1
BRONZE BUTLER,AT,1
BRONZE BUTLER,AM,3
BRONZE BUTLER,AEQ,3
BRONZE BUTLER,AI,3
Kimsuky,AG,1
Kimsuky,RL,2
Kimsuky,AT,1
Kimsuky,AM,4
Kimsuky,SI,1
Kimsuky,AEQ,1
Wizard Spider,AG,1
Wizard Spider,RL,1
Wizard Spider,AM,3
Wizard Spider,SI,2
Wizard Spider,AEQ,7
Wizard Spider,AI,1
