序号,APT组织名称,网址,描述,Use用法
1,APT32,https://attack.mitre.org/groups/G0050/,"APT32 is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims. The group is believed to be aligned with Vietnamese government interests.",APT32 has used Registry Run keys to establish persistence. | APT32 has used scheduled tasks to persist on victim systems. | APT32 has used PowerShell-based tools and scripts for execution. | APT32 has used spearphishing with malicious attachments to gain initial access. | APT32 has collected data from local system sources including files and directories.
2,APT28,https://attack.mitre.org/groups/G0007/,"APT28 is a threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) 85th Main Special Service Center (GTsSS) military unit 26165. This group has been active since at least 2004. APT28 reportedly compromised the Hillary Clinton campaign, the Democratic National Committee, and the Democratic Congressional Campaign Committee in 2016 in an attempt to interfere with the U.S. presidential election. APT28 has been known to target government, military, and security organizations.","APT28 has used credential dumping tools such as Mimikatz. | APT28 has used spearphishing emails with malicious Microsoft Office attachments. | APT28 has used various implants including X-Agent, X-Tunnel, and WinIDS. | APT28 has used the Responder tool to capture credentials via LLMNR/NBT-NS poisoning. | APT28 has compressed data before exfiltration using tools like WinRAR."
3,APT29,https://attack.mitre.org/groups/G0016/,"APT29 is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR). They have operated since at least 2008, often targeting governmental networks in Europe and NATO member countries, research institutes, and think tanks. APT29 reportedly compromised the Democratic National Committee starting in the summer of 2015. In April 2021, the US and UK governments attributed the SolarWinds Compromise to the SVR, which they say was perpetrated by APT29.","APT29 has used various malware families including HAMMERTOSS, CHOPSTICK, and POSHSPY. | APT29 has used PowerShell for execution and to download additional payloads. | APT29 has used spearphishing with malicious links and attachments for initial access. | APT29 has used WMI for lateral movement and persistence. | APT29 has stolen credentials using tools like Mimikatz and through password spraying attacks."
4,APT30,https://attack.mitre.org/groups/G0013/,"APT30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches. APT30 has been active since at least 2005 and has primarily targeted organizations in Southeast Asia.",APT30 has used custom backdoors for command and control. | APT30 has used spearphishing emails with malicious attachments. | APT30 has collected system information including network configuration. | APT30 has used tools to capture screenshots. | APT30 has exfiltrated data over their C2 channel.
5,APT38,https://attack.mitre.org/groups/G0064/,"APT38 is a North Korean state-sponsored threat group that specializes in financial cyber operations. Active since at least 2014, APT38 has targeted banks, financial institutions, casinos, and cryptocurrency exchanges worldwide to steal money and cryptocurrency. The group has been linked to the 2016 Bangladesh Bank heist. APT38 is also known as Bluenoroff and Stardust Chollima.",APT38 has used custom malware families including NESTEGG and NACHOCHEESE. | APT38 has used PowerShell for execution and to download additional tools. | APT38 has used spearphishing with malicious attachments to gain initial access. | APT38 has used credential dumping tools to obtain account credentials. | APT38 has deleted logs and used timestomping to hide their activities.
6,APT39,https://attack.mitre.org/groups/G0087/,"APT39 is an Iranian cyber espionage group that has been active since at least 2014. The group has targeted a wide range of industries including telecommunications, travel, technology, and oil and gas sectors. APT39's focus appears to be on personal information that could be used for surveillance purposes. In 2020, the U.S. Department of Justice indicted members of APT39 for computer intrusions.",APT39 has used various custom and publicly available tools for credential theft. | APT39 has used spearphishing with malicious links and attachments. | APT39 has used web shells for persistence and command execution. | APT39 has collected browser history and stored credentials. | APT39 has used tools like Mimikatz to dump credentials from memory.
7,APT41,https://attack.mitre.org/groups/G0096/,"APT41 is a Chinese state-sponsored espionage group that has been active since at least 2012. The group has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries. APT41 is unique in that it conducts both state-sponsored espionage and financially motivated operations. In September 2020, the U.S. Department of Justice indicted several members of APT41.","APT41 has used various malware families including HIGHNOON, POISONPLUG, and HOMEUNIX. | APT41 has used supply chain compromises to gain initial access. | APT41 has used credential dumping tools to obtain passwords. | APT41 has used web shells for persistence. | APT41 has deployed ransomware for financial gain."
8,BRONZE BUTLER,https://attack.mitre.org/groups/G1002/,"BRONZE BUTLER is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly in the government, biotechnology, electronics manufacturing, and industrial chemistry sectors.",BRONZE BUTLER has used custom malware including Daserf and xxmm. | BRONZE BUTLER has used spearphishing emails with malicious attachments. | BRONZE BUTLER has used tools to collect credentials from web browsers. | BRONZE BUTLER has used scheduled tasks for persistence. | BRONZE BUTLER has compressed stolen data before exfiltration.
9,Kimsuky,https://attack.mitre.org/groups/G0094/,"Kimsuky is a North Korean-based threat group that has been active since at least 2012. The group initially focused on South Korean government entities, think tanks, and individuals identified as experts in various fields, but has expanded its operations worldwide. Kimsuky has been attributed to the Reconnaissance General Bureau.",Kimsuky has used various custom tools and malware for espionage. | Kimsuky has used spearphishing with malicious attachments and links. | Kimsuky has stolen credentials through keylogging and credential harvesting. | Kimsuky has collected files and data from infected systems. | Kimsuky has used cloud storage services for command and control.
10,Wizard Spider,https://attack.mitre.org/groups/G0102/,"Wizard Spider is a Russia-based financially motivated threat group originally known for the creation and deployment of TrickBot since at least 2016. Wizard Spider possesses a diverse aresenal of tools and has conducted ransomware campaigns against a variety of organizations, ranging from major corporations to hospitals.",Wizard Spider has used TrickBot malware for initial access and credential theft. | Wizard Spider has deployed Ryuk and Conti ransomware. | Wizard Spider has used PowerShell Empire for post-exploitation. | Wizard Spider has used credential dumping tools like Mimikatz. | Wizard Spider has used RDP for lateral movement.
